playlist,videoTitle,description,duration
Engineering Math: Differential Equations and Dynamical Systems,Calculus Review: The Derivative (and the Power Law and Chain Rule),This video provides a quick review of the derivative from Calculus.  We also review the power law and chain rule.  This material is a pre-requisite for this course on Differential Equations & Dynamical Systems.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 The Derivative 11:20 Example: f(x) = x^2 14:04 The Power Law: f(x) = x^n 20:24 The Chain Rule: f(g(x)),00:26:30
Engineering Math: Differential Equations and Dynamical Systems,Gentle Introduction to Modeling with Matrices and Vectors: A Probabilistic Weather Model,"This video gives an intro example of how we model complex systems that change in time, using matrices and vectors.  Specifically, I build a toy model for the weather, where the probability of the weather today being ""(R)ainy"", ""(N)ice"", or ""(C)loudy"" is stored in a vector [R, N, C].  This probability of the weather being in one of these states tomorrow is then updated by multiplying this vector by a probability matrix.    Code examples are given in Python and Matlab.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview 1:07 Building a simple weather model  5:00 Modeling the state as a vector 6:50 Writing the dynamical system update rule as a matrix 14:07 Matlab code example 23:43 Python code example 38:24 Teaser of how to make system more realistic",00:40:56
Engineering Math: Differential Equations and Dynamical Systems,The Simplest Ordinary Differential Equation (ODE) and Its Exponential Solution,"Here we introduce the simplest linear, first-order ordinary differential equation, dx/dt = constant * x, using intuitive examples like the growth of a bunny population, radioactive decay, and compound interest in the bank.  We solve this equation and find that the solutions are given by exponential functions in time.  This is the basis for all of the differential equations in this series.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:58 Example: Bunny Population Growth 6:33 Solving this Differential Equation 15:03 What is Euler's Number 'e'?  Example: Compound Interest 27:25 Loan Interest as a Differential Equation 31:23 Example: Radioactive Decay 36:32 Example: Thermal Runaway in Electronics",00:39:17
Engineering Math: Differential Equations and Dynamical Systems,Solving Differential Equations with Power Series: A Simple Example,"Here we show how to solve a simple linear differential equation by solving for the Power Series expansion of the solution.  This is an extremely powerful approach that can be used to solve nearly any differential equation, even nasty nonlinear equations.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 1:08 Solving Simple ODE with Power Series Expansion 6:40 Recursively Match Coefficients of Each Power t^n 12:50 The Full Solution: An Exponential Function",00:17:03
Engineering Math: Differential Equations and Dynamical Systems,Taylor Series and Power Series Made Easy (with Pictures): Review of Calculus,"This video provides a high-level review of Taylor Series and Power Series from Calculus, with simple examples and code in Python and Matlab.  The Taylor Series will be used throughout this series on Differential Equations, both to understand how to solve ODEs analytically by hand, and also to solve them numerically on a computer.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 1:06 Defining the Taylor Series (Two Ways) 9:14 Example: Series Expansion for Sine, sin(x) 14:03 Example: Series Expansion for Cosine, cos(x) 17:43 Matlab Code Example 24:29 Python Code Example",00:28:55
Engineering Math: Differential Equations and Dynamical Systems,Taylor Series of the Exponential Function and Euler's Formula!,"This video computes the Taylor series of the exponential function exp(x), which is a fundamental building block solution of ordinary differential equations.  We then plug in an imaginary argument exp(ix) to derive Euler's formula exp(ix) = cos(x) + i sin(x).  This is a fundamental result that we will use over and over to solve differential equations where the dynamics oscillate in time.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Taylor Series of Exponential, exp(x) 3:42 Deriving Euler's Formula, exp(ix) = cos(x) + i sin(x)",00:10:14
Engineering Math: Differential Equations and Dynamical Systems,Second-Order Ordinary Differential Equations: Solving the Harmonic Oscillator Four Ways,"Here we introduce the second-order ordinary differential equation (ODEs) for a mass on a spring.  In Newton's Second Law, F=ma, the acceleration a is the second derivative of the position x(t), giving a second order differential equation.  We solve this equation four ways: 1) by guessing the solution, 2) using Taylor Series, 3) by guessing a different form of the solution, and 4) by writing as a matrix system of equations.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Introduction 1:00 Deriving the Spring-Mass Equations from F=ma 6:59 Method 1: Guess the Solution! 11:57 Method 2: Taylor Series Solution 24:18 Method 3: Guess Again! 33:20 Method 4: Write as a Matrix System of Equations",00:37:02
Engineering Math: Differential Equations and Dynamical Systems,Example Second-Order ODE: Spring-Mass-Damper,This video solves an important second-order ordinary differential equation (ODEs): The damped harmonic oscillator for a mass on a spring with damping.  We solve this by hand and also plot the solution in Python and Matlab.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Deriving the Spring-Mass-Damper Equations from F=ma 6:46 Solve the Equation by Guessing Solution x(t) = exp(a*t) 9:35 The Characteristic Equation 14:54 Using Initial Conditions to Find Undetermined Coefficients 18:08 Writing as a Matrix System of Equations 21:12 Matlab Code Example 30:44 Python Code Example,00:33:00
Engineering Math: Differential Equations and Dynamical Systems,More Examples of Second Order Differential Equations,This video gives more examples of second-order Ordinary Differential Equations and their solutions.  We review the characteristic polynomial and how to use initial conditions.  We also show that eigenvalues of the matrix system are roots of the characteristic polynomial.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:21 First Example 11:23 Writing as a Matrix System of Equations 16:11 Matlab Code Example: Plotting and Integrating the Solution 23:14 Matlab Code Example: Plotting and Integrating the Solution 25:23 Second Example (Unstable System) 28:33 Third Example,00:31:31
Engineering Math: Differential Equations and Dynamical Systems,High-Order Ordinary Differential Equations with More Derivatives (from Physics),"Here we show how to derive higher-order differential equation systems, with higher-order derivatives, from F=ma by chaining together simple systems.  Our example is combining two spring-mass systems to get a fourth order equation.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:22 General Higher-Order Differential Equations 3:55 Where Do High-Order ODEs Come From? 11:47 Procedure to Derive Higher-Order ODEs from F=ma 14:33 Example Derivation for Spring-Mass System",00:20:23
Engineering Math: Differential Equations and Dynamical Systems,"Solving General High-Order, Linear Ordinary Differential Equations (ODEs)","This video shows how to solve general high-order linear differential equation systems, using the characteristic polynomial and linear superposition.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com   %%% CHAPTERS %%% 0:00 Overview 1:56 Guess x(t) = exp(lambda*t) and Plug Into ODE 6:12 Characteristic Polynomial 8:43 The General Solution 11:48 Using Initial Conditions 16:35 It's *not* a Wronskian!!! (or is it!)",00:24:56
Engineering Math: Differential Equations and Dynamical Systems,Matrix Systems of Differential Equations,"This video describes how to write a high-order linear differential equation as a matrix system of first-order differential equations.  This is a major step towards solving general ODEs using eigenvalues and eigenvectors, leveraging the full power of linear algebra.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview 1:54 Introduce New Variables 7:11 Writing as Matrix System of Equations 12:12 Summary and Takeaways 14:51 Eigenvalues of Matrix System are Roots of the Characteristic Polynomial 17:40 Example 3x3 Matrix System of ODEs",00:24:58
Engineering Math: Differential Equations and Dynamical Systems,Motivating Eigenvalues and Eigenvectors with Differential Equations,"This video *derives* the eigenvalues and eigenvectors of a matrix ""A"" to solve the matrix system of equations dx/dt = A*x.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview 1:26 Problem Setup 2:33 The Simplest System of ODEs: Decoupled (Diagonal) Dynamics 10:25 Finding a Coordinate System Where Dynamics Look Diagonal 15:42 Deriving the Eigenvalue/Eigenvector Equation 19:03 A Picture of the Eigenvalue Equation 22:27 Recap and Summary",00:23:58
Engineering Math: Differential Equations and Dynamical Systems,Eigenvalues and Eigenvectors,"This video explores the eigenvalues and eigenvectors of a matrix ""A"".  This is one of the most important concepts in linear algebra.  The eigenvectors represent a change of coordinates in which the ""A"" matrix becomes diagonal, with entries given by the eigenvalues.  This allows us to easily solve arbitrarily complex linear systems of differential equations.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview and Eigenvalue Equation 3:15 Eigenvalues and Eigenvectors are ""Special"" 6:00 Example 2x2 Matrix 14:55 Computing Eigenvalues and Eigenvectors for *any* Matrix 21:18 The Determinant Measures Area of a Transformation 25:50 Determinant of 3x3 Matrix 28:35 Revisit 2x2 Matrix Example",00:33:57
Engineering Math: Differential Equations and Dynamical Systems,Solving Systems of Differential Equations with Eigenvalues and Eigenvectors,"We now show how to solve a generic matrix system of linear ordinary differential equations (ODEs) using eigenvalues and eigenvectors.  This is one of the most powerful techniques in linear systems theory, with applications in stability theory and control.     Code examples are given in Python and Matlab.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview and Recap of Eigenvalues and Eigenvectors 2:58 Eigenvalues in Matlab 4:40 Eigenvalues in Python 5:55 Setting up the Problem 15:25 The Full Solution  17:00 Intuitive Interpretation",00:21:51
Engineering Math: Differential Equations and Dynamical Systems,2x2 Systems of ODEs: Sources and Sinks,"This video investigates a 2-dimensional linear system of ordinary differential equations with either pairs of positive real eigenvalues or pairs of negative real eigenvalues.  These solutions are known as unstable sources and stable sinks, respectively.  We investigate the solutions using eigenvalues and eigenvectors, as well as with phase portrait pictures.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview of sources and sinks 1:56 Writing the solution  2:53 Recap: How to compute matrix inverse 12:24 Drawing an unstable source in phase space 21:01 Drawing a stable sink in phase space",00:25:11
Engineering Math: Differential Equations and Dynamical Systems,2x2 Systems of ODEs: Saddle Points and Instability,"This video investigates a 2-dimensional linear system of ordinary differential equations with a positive and a negative real eigenvalue.  These solutions are known as unstable saddle points.  Saddle points are extremely useful for energy-efficient transport, including for bipedal walking and locomotion, for fight jets, and also for interplanetary transport.  We investigate the solutions using eigenvalues and eigenvectors, as well as with phase portrait pictures.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview of saddle points 4:52 Drawing a saddle in phase space 10:52 Saddle example: Human walking 14:42 Saddle example: Particle in a potential well 17:24 Saddle example: Planetary transport in the solar system",00:27:43
Engineering Math: Differential Equations and Dynamical Systems,2x2 Systems of ODEs: Imaginary Eigenvalues and Center Fixed Points,"This video investigates a 2-dimensional linear system of ordinary differential equations with a pair of purely imaginary complex conjugate eigenvalues.  These solutions are known as neutrally stable center fixed points.  We investigate the solutions using eigenvalues and eigenvectors, as well as with phase portrait pictures.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview 3:09 Examples of physical systems with complex eigenvalues 5:12 Quick recap of basic properties of complex numbers 9:50 Computing the eigenvectors 16:34 Writing the full solution 25:04 Geometric intuition: The solution is a rotation matrix 31:15 Adding small friction: Center becomes spiral sink",00:37:49
Engineering Math: Differential Equations and Dynamical Systems,"Stability and Eigenvalues: What does it mean to be a ""stable"" eigenvalue?","This video clarifies what it means for a system of linear differential equations to be stable in terms of its eigenvalues.  Specifically, we show that if all (potentially complex) eigenvalues have negative real part, then the system is stable.  If even a single eigenvalue has positive real part, then the system is unstable.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%%",00:14:53
Engineering Math: Differential Equations and Dynamical Systems,"What is a ""Linear"" Differential Equation?",This video explores what it means for a differential equation to be linear.  Specifically we discuss the importance of linear superposition and give examples of linear and nonlinear operators and differential equations.   Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Example of linear superposition of solutions to an ODE 6:53 Linear systems of differential equations 8:45 Examples of linear operators,00:19:15
Engineering Math: Differential Equations and Dynamical Systems,Linearizing Nonlinear Differential Equations Near a Fixed Point,"This video describes how to analyze fully nonlinear differential equations by analyzing the linearized dynamics near a fixed point.  Most of our powerful solution techniques for ODEs are only valid for linear systems, so this is an important strategy for studying nonlinear systems.    This is a hugely important step towards analyzing nonlinear systems with linear techniques.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview  3:37 Fixed points of nonlinear systems 5:32 Zooming in to small neighborhood of fixed point 7:03 Solving for linearization with Taylor series 12:10 Computing Jacobian matrix of partial derivatives  15:10 Example of linearizing nonlinear system",00:23:28
Engineering Math: Differential Equations and Dynamical Systems,A Particle in a Potential Well: Nonlinear Dynamics,"This video shows how to derive the equations of motion for a fully nonlinear system, the particle in a potential well, from F=ma or from Lagrangian mechanics.  We will linearize these equations and draw phase portraits to gain intuition about nonlinear systems.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Problem setup and equations of motion 5:37 Alternative derivation from Euler-Lagrange equations 10:13 Simple pendulum example  12:03 Sneak peak of next lecture",00:13:23
Engineering Math: Differential Equations and Dynamical Systems,Drawing Phase Portraits for Nonlinear Systems,"This video shows how to draw phase portraits and analyze fully nonlinear systems.  Specifically, we identify all of the fixed points, linearize around these fixed points, analyze the stability with eigenvalues and eigenvectors, and then infer global nonlinear dynamics outside of these regions.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview and deriving equations from F=ma 4:30 Finding fixed points of system 8:35 Linearizing near fixed points 10:09 First fixed point: A linear center 12:24 Second fixed point: An unstable saddle 15:01 Drawing full global phase portrait 22:25 Adding friction and drawing phase portrait",00:26:01
Engineering Math: Differential Equations and Dynamical Systems,Phase Portrait for Double Well Potential,"No one can hear you scream in phase space.  In this video we explore the phase portrait of a double-well potential system, which is a fun example of a nonlinear system (i.e., differential equation) that can be analyzed with local linearization and linear solution techniques.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Problem setup 3:19 Finding fixed points and linearizing 10:48 Global phase portrait",00:16:04
Engineering Math: Differential Equations and Dynamical Systems,"The Hartman-Grobman Theorem, Structural Stability of Linearization, and Stable/Unstable Manifolds","This video explores a central result in dynamical systems: The Hartman-Grobman theorem.  This theorem establishes when a fixed point of a nonlinear system will resemble its linearization.  In particular, hyperbolic fixed points, where every eigenvalue has a non-zero real part, will be ""structurally stable"" so that the nonlinear system resembles its linearization in a neighborhood of the fixed point.  We also discuss the existence of stable and unstable manifolds.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Hartman-Grobman and hyperbolic fixed points 10:36 Stable and unstable manifolds 13:50 Example of stable manifold",00:17:36
Engineering Math: Differential Equations and Dynamical Systems,Non-Normal Linear Systems and Transient Energy Growth: Bypass Transition to Turbulence,"This video investigates what happens to a linear system of differential equations when we have repeated eigenvalues and non-normal system matrices ""A"".  These ""non-normal"" systems are very important in turbulence and provide one important route to turbulence.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview of non-normal dynamics 5:20 Example non-normal system 8:07 Python code example 9:55 Matlab code example 14:01 Computing eigenvectors of non-normal system 18:53 Examples of non-normal fluid systems 24:10 Bypass transition to turbulence in fluids",00:30:22
Engineering Math: Differential Equations and Dynamical Systems,Repeated Eigenvalues and Secular Terms: Transient Growth in Non-Normal Systems,"This video investigates how to analytically solve a linear system of differential equations with repeated eigenvalues.  Specifically we derive the ""secular terms"" te^{lambda*t} for non-normal systems.   Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%%",00:12:39
Engineering Math: Differential Equations and Dynamical Systems,Systems of Differential Equations: Diagonalization and Jordan Canonical Form,"It is only possible to perfectly diagonalize certain systems of linear differential equations.  For the more general cases, it is possible to ""block-diagonalize"" the system into what is known as Jordan Canonical Form.  This video explores these various options and derives the fully general Jordan form.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 A tale of two ""A"" matrices 1:47 When it's possible to diagonalize a matrix with eigenvectors 6:15 Computing eigenvectors and generalized eigenvectors 20:03 Case of complex conjugate eigenvalues 23:10 Case of repeated eigenvalues 25:35 3x3 degenerate matrix 29:37 Jordan canonical form for general matrix",00:34:25
Engineering Math: Differential Equations and Dynamical Systems,Differential Equations with Forcing: Method of Undetermined Coefficients,"This video introduces external forcing to linear differential equations, and we show how to solve these equations with the method of undetermined coefficients.  The idea is simple: 1) solve the unforced, or ""homogeneous"" system; 2) find a particular solution that equals the forcing when plugged into the ODE (generally, we guess the form of the solution based on the form of the forcing); 3) combine the homogeneous and particular solutions and use this full solution to identify the unknown coefficients with initial conditions.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Overview and problem setup 7:02 Step 1: Solve homogeneous differential equation 8:45 Step 2: Solve for the particular solution  13:50 Step 3: Solve for coefficients with initial conditions",00:20:09
Engineering Math: Differential Equations and Dynamical Systems,Differential Equations with Forcing: Method of Variation of Parameters,"This video solves externally forced linear differential equations with the method of variation of parameters.  This approach is extremely powerful.  The idea is to solve the unforced, or ""homogeneous"" system, and then to replace the unknown coefficients c_k with unknown functions of time c_k(t), and then solve for these functions based on the external forcing.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%%",00:23:25
Engineering Math: Differential Equations and Dynamical Systems,Systems of Differential Equations with Forcing: Example in Control Theory,This video explores linear systems of differential equations with forcing.  We motivate these problems with a simple control example where we stabilize and inverted pendulum with external forcing based on state feedback.      Control Bootcamp: https://www.youtube.com/playlist?list=PLMrJAkhIeNNR20Mz-VpzgfQs5zrYi085m  Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%%,00:16:04
Engineering Math: Differential Equations and Dynamical Systems,Linear Systems of Differential Equations with Forcing: Convolution and the Dirac Delta Function,"This video derives the fully general solution to a matrix system of linear differential equation with forcing in terms of a convolution integral.  We start off simple, by breaking the problem down into simple sub-problems.  One of these sub-problems is deriving the response of the system to an impulsive delta-function input (the so-called impulse response).  This involves introducing the Dirac delta function.  Next we show how a generic input forcing function u(t) may be seen as a sequence of infinitesimal delta functions, allowing us to derive the convolution integral solution.    This approach is a cornerstone of control theory and linear systems analysis.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00  Overview 1:14 Case 1: Initial condition response with no forcing 5:19 The Dirac delta function 11:30 Case 2: Impulse response for delta function input 20:40 Case 3: Impulse response with an initial condition 28:55 Convolution integral for arbitrary forcing u(t)",00:41:25
Engineering Math: Differential Equations and Dynamical Systems,Forced Systems of Differential Equations in Matlab and Python,"In this video, we showcase the many powerful built-in functions to analyze linear systems in Python and Matlab.  Many of these functions are used extensively in control theory, which is based on forced linear systems of differential equations.    Some of the functions generate state-space systems from the (A,B,C,D) matrices, compute impulse and step responses, and simulate the linear system for generic inputs.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00  Overview 5:51 Matlab code 15:30 Python code",00:19:26
Engineering Math: Differential Equations and Dynamical Systems,Numerical Differentiation with Finite Difference Derivatives,"Approximating derivatives numerically is an important task in many areas of science and engineering, especially for simulating differential equations.  In this video, I introduce several approaches to approximate derivatives using finite difference schemes.  The error of each method is explored with Taylor series.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Numerical differentiation and finite difference 6:58 Understanding error with Taylor series 11:04 Forward difference derivative 15:39 Backward difference derivative 18:18 Central difference derivative 24:01 Matlab code example 32:53 Python code example",00:36:57
Engineering Math: Differential Equations and Dynamical Systems,Numerical Differentiation: Second Derivatives and Differentiating Data,This video explores how to numerically compute second derivatives and how to differentiate vectors of data.  Examples are given in Python and Matlab.    Paper on ML for differentiation: https://www.pnas.org/doi/10.1073/pnas.1814058116  Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Higher order finite difference schemes 5:30 Finite difference second derivative  14:27 Differentiating data vectors 26:28 Python code example 35:22 Matlab code example,00:42:16
Engineering Math: Differential Equations and Dynamical Systems,"Why we can't take ""dt"" to 0 in a computer: Sources of error in numerical differentiation","We have seen that the error of numerical differentiation typically scales with the time step dt.  So why can't we just reduce the time step arbitrarily small to control the error?  This video describes how numbers are stored in a computer and how small roundoff errors are amplified by very small dt's, giving a lower limit to how small we can make our time steps.     Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Numerical roundoff error: How numbers are stored in a computer 8:40 Two sources of error: Roundoff and Taylor series",00:19:00
Engineering Math: Differential Equations and Dynamical Systems,Numerical Integration: Discrete Riemann Integrals and Trapezoid Rule,"In this video, I show how to approximate definite integrals to find the area under a curve using discrete numerical methods.  In particular, I discuss approximations to the Riemann integral, including left and right rectangle rules, trapezoidal integration, and Simpson's rule based on spline interpolation.  Importantly, we discuss the error of each method, compute them in Python and Matlab, and relate these techniques to other intuitive numerical schemes.  All with pictures.    Playlist: https://www.youtube.com/playlist?list=PLMrJAkhIeNNTYaOnVI3QpH7jgULnAmvPA Course Website: http://faculty.washington.edu/sbrunton/me564/  @eigensteve on Twitter eigensteve.com databookuw.com  This video was produced at the University of Washington  %%% CHAPTERS %%% 0:00 Numerical integration: Discrete Riemann integrals 10:53 Trapezoidal integration 18:42 Simpson's integration rule 22:56 Python code example 26:34 Matlab code example",00:29:43
